scope,pitch_type,metric,value,sample_n
overall,,heater_velocity,92.56913499999999,90
overall,,heater_velocity,81.18409787234042,47
overall,,heater_velocity,89.18047149253731,67
overall,,heater_velocity,91.5863461302682,261
overall,,heater_velocity,89.03816206319703,538
overall,,heater_velocity,85.6741675,52
overall,,heater_velocity,83.18011315789472,152
overall,,heater_velocity,90.45434074074075,243
overall,,heater_velocity,89.41507842105264,95
overall,,heater_velocity,87.52589505882352,85
overall,,heater_velocity,89.945146875,32
overall,,heater_velocity,87.50333694915255,59
overall,,heater_velocity,88.12876733905578,233
overall,,heater_velocity,89.63140864661653,133
overall,,heater_velocity,93.19996831578948,95
overall,,heater_velocity,92.71304561983472,363
overall,,heater_velocity,86.90276317829458,129
overall,,heater_velocity,86.80544884353742,294
overall,,heater_velocity,88.8575246875,128
overall,,heater_velocity,89.83213977777777,45
overall,,heater_velocity,87.72818548387097,62
overall,,heater_velocity,85.1702331632653,196
overall,,heater_velocity,92.69822888888888,324
overall,,heater_velocity,89.63225916666666,36
overall,,heater_velocity,93.6000206949807,259
overall,,heater_velocity,88.70598643678161,174
overall,,heater_velocity,87.86878088825215,349
overall,,heater_velocity,90.26784959183674,98
overall,,heater_velocity,90.39669612903225,31
overall,,heater_velocity,92.17724934782609,46
overall,,heater_velocity,88.32618220779221,77
overall,,heater_velocity,92.08808351351351,37
overall,,heater_velocity,89.75976,39
overall,,heater_velocity,96.13130182741118,197
overall,,heater_velocity,90.20797237623762,202
overall,,heater_velocity,91.07008454242929,601
overall,,heater_velocity,93.13841797101449,138
overall,,heater_velocity,85.35852738601824,329
overall,,heater_velocity,90.77334869822485,169
overall,,heater_velocity,90.90377035714286,56
overall,,heater_velocity,93.42782979381444,970
overall,,heater_velocity,87.07202512195123,82
overall,,heater_velocity,89.38077353658537,82
overall,,heater_velocity,92.21610229787234,235
overall,,heater_velocity,84.41501756097561,82
overall,,heater_velocity,87.55706162011172,358
overall,,heater_velocity,91.3372966,100
overall,,heater_velocity,88.90570136476425,806
overall,,heater_velocity,89.00321901369863,365
overall,,heater_velocity,90.23188572254335,173
overall,,heater_velocity,87.7926264935065,77
overall,,heater_velocity,86.63658109090909,825
overall,,heater_velocity,90.55322365079364,63
overall,,heater_velocity,90.15269251533742,326
overall,,heater_velocity,90.93543928251121,446
overall,,heater_velocity,84.24791601131541,707
overall,,heater_velocity,86.31566545454545,88
overall,,heater_velocity,88.48110367272727,275
overall,,heater_velocity,91.51397752535496,493
overall,,heater_velocity,87.15282919354838,186
overall,,heater_velocity,90.94534215686275,102
overall,,heater_velocity,92.31127534798534,546
overall,,heater_velocity,90.78611121212121,66
overall,,heater_velocity,87.578598625,80
overall,,heater_velocity,88.35776035714285,28
overall,,heater_velocity,94.85735010380623,289
overall,,heater_velocity,84.82956485981309,107
overall,,heater_velocity,91.51252370786517,178
overall,,heater_velocity,87.22130011627907,344
overall,,heater_velocity,84.77018597014926,67
overall,,heater_velocity,86.99699243386243,189
overall,,heater_velocity,85.28620453781512,119
overall,,heater_velocity,88.12614241071428,112
overall,,heater_velocity,90.09336307053941,241
overall,,heater_velocity,89.21849708154507,233
overall,,heater_velocity,88.25075585365853,41
overall,,heater_velocity,91.72125854103344,329
overall,,heater_velocity,87.64198692307693,104
overall,,heater_velocity,93.72030197701149,435
overall,,heater_velocity,83.86270185430465,151
overall,,heater_velocity,89.0164099328859,149
overall,,heater_velocity,91.48984444444444,27
overall,,heater_velocity,90.94103766990293,412
overall,,heater_velocity,88.76084953125,64
overall,,heater_velocity,89.28091140350877,57
overall,,heater_velocity,89.66907051569507,446
overall,,heater_velocity,88.64701552941176,85
overall,,heater_velocity,85.23412575757575,66
overall,,heater_velocity,89.31775428571429,203
overall,,heater_velocity,84.98292715163934,488
overall,,heater_velocity,93.3649597309417,223
overall,,heater_velocity,91.04334867021275,376
overall,,heater_velocity,90.63526460784314,102
overall,,heater_velocity,90.59312728971963,107
overall,,heater_velocity,82.3311710909091,55
overall,,heater_velocity,90.6437723540146,548
overall,,heater_velocity,89.5139858227848,316
overall,,heater_velocity,88.62680035714286,56
overall,,heater_velocity,88.96049792929293,198
overall,,heater_velocity,90.10439411522634,243
overall,,heater_velocity,85.89507523404257,235
overall,,heater_velocity,90.68166356060607,132
overall,,heater_velocity,86.2522776,25
overall,,heater_velocity,89.32924640449438,267
overall,,heater_velocity,90.61953269035533,197
overall,,heater_velocity,88.24928972527472,182
overall,,heater_velocity,86.76430684210526,38
overall,,heater_velocity,88.82729366666668,30
overall,,heater_velocity,89.62587142857143,42
overall,,heater_velocity,89.1883806,50
overall,,heater_velocity,89.70575116071429,224
overall,,heater_velocity,87.2840593627451,204
overall,,heater_velocity,96.03870898507462,335
overall,,heater_velocity,90.07041164750957,522
overall,,heater_velocity,88.60251733333332,60
overall,,heater_velocity,85.71038588235294,306
overall,,heater_velocity,85.95335302702703,185
overall,,heater_velocity,90.86308215686275,255
overall,,heater_velocity,86.51642926345609,353
overall,,heater_velocity,89.62171953571429,280
overall,,heater_velocity,91.9418903076923,65
overall,,heater_velocity,84.8242459574468,47
overall,,heater_velocity,89.80804274932615,371
overall,,heater_velocity,89.76432687919463,298
overall,,heater_velocity,92.26977394160585,411
overall,,heater_velocity,83.52116716216217,74
overall,,heater_velocity,85.30975867768595,121
overall,,heater_velocity,90.60909135549872,391
overall,,heater_velocity,89.28191050955414,471
overall,,heater_velocity,84.42327534883721,86
overall,,heater_velocity,90.96379670487106,349
overall,,heater_velocity,85.2406825,560
overall,,heater_velocity,91.94334103896104,154
overall,,heater_velocity,84.54367876033058,121
overall,,heater_velocity,82.8914484375,32
overall,,heater_velocity,89.37135966666666,390
overall,,heater_velocity,89.43448724576271,236
overall,,heater_velocity,89.97056785714285,42
overall,,heater_velocity,84.8712072875817,306
overall,,heater_velocity,92.7455318895966,471
overall,,heater_velocity,89.54966174418605,172
overall,,heater_velocity,85.07761307692309,26
overall,,heater_velocity,91.63095237373737,198
overall,,heater_velocity,84.37570864661654,133
overall,,heater_velocity,88.0425176119403,67
overall,,heater_velocity,88.25114335260116,173
overall,,heater_velocity,94.7866383255814,645
overall,,heater_velocity,91.26807715254238,295
overall,,heater_velocity,92.83293778538813,438
overall,,heater_velocity,83.40520457627119,59
overall,,heater_velocity,91.62725451612903,31
overall,,heater_velocity,92.34141718309859,71
overall,,heater_velocity,90.26814392226149,283
overall,,heater_velocity,91.95702014084507,213
overall,,heater_velocity,90.82271394366197,71
overall,,heater_velocity,87.77100461538461,39
overall,,heater_velocity,87.89106666666667,177
overall,,heater_velocity,86.85019596858638,191
overall,,heater_velocity,88.29390095477387,199
overall,,heater_velocity,88.6711210897436,156
overall,,heater_velocity,88.70855885057472,87
overall,,heater_velocity,90.3641621656051,628
overall,,heater_velocity,94.43167530303032,198
overall,,heater_velocity,92.96173853932585,89
overall,,heater_velocity,92.76494046511628,172
overall,,heater_velocity,90.17821333333333,174
overall,,heater_velocity,85.59386555555555,27
overall,,heater_velocity,85.88416935185185,108
overall,,heater_velocity,90.23249979010495,667
overall,,heater_velocity,90.8706475,216
overall,,heater_velocity,88.59700698581561,282
overall,,heater_velocity,87.36606457142858,35
overall,,heater_velocity,91.01895194244604,278
overall,,heater_velocity,91.99003409090909,66
overall,,heater_velocity,85.1614295609756,205
overall,,heater_velocity,83.87507226415093,53
overall,,heater_velocity,89.9596798918919,185
overall,,heater_velocity,86.13899096774193,62
overall,,heater_velocity,90.45687222011385,527
overall,,heater_velocity,91.20036044077133,363
overall,,heater_velocity,84.82395,29
overall,,heater_velocity,90.29720384955752,226
overall,,heater_velocity,90.37968132505175,483
overall,,heater_velocity,91.16509593939395,165
overall,,heater_velocity,82.273175,38
overall,,heater_velocity,93.88651142857142,42
overall,,heater_velocity,88.1895087755102,147
overall,,heater_velocity,85.02276753846154,130
overall,,heater_velocity,91.81815390581718,361
overall,,heater_velocity,89.39518093023256,86
overall,,heater_velocity,90.2383746,50
overall,,heater_velocity,86.28063642857144,56
overall,,heater_velocity,91.02040690140845,213
overall,,heater_velocity,89.90910325,80
overall,,heater_velocity,89.9479988939052,443
overall,,heater_velocity,85.85592381909547,199
overall,,heater_velocity,89.75482989795918,294
overall,,heater_velocity,91.12108333333333,117
overall,,heater_velocity,89.41111204301076,93
overall,,heater_velocity,89.05551699186991,123
overall,,heater_velocity,87.17504913043479,184
overall,,heater_velocity,87.9815838235294,136
overall,,heater_velocity,87.92108709677419,62
overall,,heater_velocity,93.14208422960725,331
overall,,heater_velocity,90.74155972027972,286
overall,,heater_velocity,86.61997652054795,365
overall,,heater_velocity,88.2875852,25
overall,,heater_velocity,92.42395199999999,25
overall,,heater_velocity,90.97625142857143,28
overall,,heater_velocity,90.01678728571429,70
overall,,heater_velocity,87.18089584415584,77
overall,,heater_velocity,90.61423018779344,213
overall,,heater_velocity,88.5308978125,64
overall,,heater_velocity,90.65141406015037,266
overall,,heater_velocity,86.43427268817204,93
overall,,heater_velocity,95.9828503125,32
overall,,heater_velocity,89.38201654320987,81
overall,,heater_velocity,90.24461853046594,279
overall,,heater_velocity,95.07743081081081,259
overall,,heater_velocity,94.98142735468564,843
overall,,heater_velocity,87.50745253125,640
overall,,heater_velocity,86.49795726027398,73
overall,,heater_velocity,83.42006754385964,57
overall,,heater_velocity,86.13140445669292,635
overall,,heater_velocity,81.37691495238094,210
overall,,heater_velocity,86.78989264150944,106
overall,,heater_velocity,86.01578076923077,39
overall,,heater_velocity,86.647526,105
overall,,heater_velocity,89.1747042217484,469
overall,,heater_velocity,84.52544814814816,54
overall,,heater_velocity,91.16893875,32
overall,,heater_velocity,83.7768240952381,210
overall,,heater_velocity,88.95969251497006,167
overall,,heater_velocity,84.1652221978022,91
overall,,heater_velocity,88.0539816,25
overall,,heater_velocity,85.77724411657559,549
overall,,heater_velocity,83.31169914798207,223
overall,,heater_velocity,86.46199226495726,234
overall,,heater_velocity,87.11926586387435,382
overall,,heater_velocity,87.0937593430657,274
overall,,heater_velocity,86.49726324873096,197
overall,,heater_velocity,92.2540067549669,151
overall,,heater_velocity,86.33377444444444,171
overall,,heater_velocity,88.23854571865444,327
overall,,heater_velocity,89.53627197424892,233
overall,,heater_velocity,88.12149282828283,99
overall,,heater_velocity,89.72605930107528,186
overall,,heater_velocity,89.2330807142857,756
overall,,heater_velocity,86.62953095709571,303
overall,,heater_velocity,86.36370607843138,153
overall,,heater_velocity,90.88959555172414,290
overall,,heater_velocity,90.51305136986302,73
overall,,heater_velocity,92.18136631956912,557
overall,,heater_velocity,86.56533253731342,268
