co,team_abbr,Team,Primary Color,Secondary Color,NCAA_img,bref_name
133,UCO_HUS,UConn,#000E2F,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uconn.svg,UConn Huskies
134,CRE_BLU,Creighton,#0C2340,#BABCBE,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/creighton.svg,Creighton Bluejays
135,XAV_MUS,Xavier,#041E42,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/xavier.svg,Xavier Musketeers
136,GEO_HOY,Georgetown,#041E42,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/georgetown.svg,Georgetown Hoyas
137,VIL_WIL,Villanova,#00246B,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/villanova.svg,Villanova Wildcats
138,STJ_RED,St. John's (NY),#CE1126,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/st-johns-ny.svg,St. John's Red Storm
139,SET_PIR,Seton Hall,#0060A9,#A7B1B7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/seton-hall.svg,Seton Hall Pirates
140,BUT_BUL,Butler,#13294B,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/butler.svg,Butler Bulldogs
141,SAN_GAU,UC Santa Barbara,#003660,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-santa-barbara.svg,UC Santa Barbara Gauchos
142,CAL_MUS,Cal Poly,#154734,#FFB81C,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg,Cal Poly Mustangs
143,HAW_WAR,Hawaii,#024731,#C8C9C7,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/hawaii.svg,Hawaii Rainbow Warriors
144,CAL_MAT,CSUN,#C8102E,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/cal-st-northridge.svg,Cal State Northridge Matadors
145,LON_DIR,Long Beach St.,#FFD100,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-beach-st.svg,Long Beach State Beach
146,CAL_ANT,UC Irvine,#FFD100,#0064A4,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-irvine.svg,UC Irvine Anteaters
147,CAL_FUL,Cal St. Fullerton,#FF8200,#003DA5,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg,Cal State Fullerton Titans
148,CSD_TRI,UC San Diego,#182B49,#C69214,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-san-diego.svg,UC San Diego Tritons
149,CSU_BAK,CSU Bakersfield,#041E42,#FF6600,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/bakersfield.svg,CSU Bakersfield Roadrunners
150,CAL_AGO,UC Davis,#041E42,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-davis.svg,UC Davis Aggies
151,CAL_HIG,UC Riverside,#003DA5,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/uc-riverside.svg,UC Riverside Highlanders
152,WRI_RAI,Wright St.,#046A38,#FFD100,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/wright-st.svg,Wright State Raiders
153,OAK_GOL,Oakland,#DAAA00,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/oakland.svg,Oakland Golden Grizzlies
154,PUR_FOR,Purdue Fort Wayne,#FFD100,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ipfw.svg,Purdue Fort Wayne Mastodons
155,YSU_PEN,Youngstown St.,#CC0000,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/youngstown-st.svg,Youngstown State Penguins
156,NOK_NOR,Northern Ky.,#FFD100,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/northern-ky.svg,Northern Kentucky Norse
157,UWM_PAN,Milwaukee,#FFD100,#000000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/milwaukee.svg,Milwaukee Panthers
158,PEN_QUA,Penn,#011F5B,#CC0000,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/penn.svg,Penn Quakers
159,COL_LION,Columbia,#B9D9EB,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/columbia.svg,Columbia Lions
160,DAR_GRE,Dartmouth,#00693E,#FFFFFF,https://www.ncaa.com/sites/default/files/images/logos/schools/bgd/dartmouth.svg,Dartmouth Big Green
