"TaggedPitchType","Percentile","Value","Stat"
"Cutter",47,85.9563349537211,"AvgVelo"
"Cutter",48,85.9612965349165,"AvgVelo"
"Cutter",49,85.9701817388918,"AvgVelo"
"Cutter",50,86.0306204956513,"AvgVelo"
"Cutter",51,86.1198590020079,"AvgVelo"
"Cutter",52,86.2333327703094,"AvgVelo"
"Cutter",53,86.2577473024537,"AvgVelo"
"Cutter",54,86.2699698600867,"AvgVelo"
"Cutter",55,86.2930372465524,"AvgVelo"
"Cutter",56,86.4483167365915,"AvgVelo"
"Cutter",57,86.5498453129116,"AvgVelo"
"Cutter",58,86.5859856803257,"AvgVelo"
"Cutter",59,86.7734532032885,"AvgVelo"
"Cutter",60,86.8645683408072,"AvgVelo"
"Cutter",61,86.8878657808725,"AvgVelo"
"Cutter",62,86.9247484342282,"AvgVelo"
"Cutter",63,86.9825576456935,"AvgVelo"
"Cutter",64,87.0426372764706,"AvgVelo"
"Cutter",65,87.077790375,"AvgVelo"
"Cutter",66,87.1297549263896,"AvgVelo"
"Cutter",67,87.1977047433486,"AvgVelo"
"Cutter",68,87.2882853954128,"AvgVelo"
"Cutter",69,87.3191981,"AvgVelo"
"Cutter",70,87.35373111,"AvgVelo"
"Cutter",71,87.403143413,"AvgVelo"
"Cutter",72,87.4136208770403,"AvgVelo"
"Cutter",73,87.4698178171205,"AvgVelo"
"Cutter",74,87.5640552533186,"AvgVelo"
"Cutter",75,87.6373360647124,"AvgVelo"
"Cutter",76,87.6888059333333,"AvgVelo"
"Cutter",77,87.7511483134892,"AvgVelo"
"Cutter",78,87.9137095543165,"AvgVelo"
"Cutter",79,88.0197048664209,"AvgVelo"
"Cutter",80,88.0920536439024,"AvgVelo"
"Cutter",81,88.1308813028659,"AvgVelo"
"Cutter",82,88.3545443517785,"AvgVelo"
"Cutter",83,88.5761440424898,"AvgVelo"
"Cutter",84,88.7400040839452,"AvgVelo"
"Cutter",85,88.7556197531468,"AvgVelo"
"Cutter",86,88.7710422358064,"AvgVelo"
"Cutter",87,88.7967602142804,"AvgVelo"
"Cutter",88,88.8467511911166,"AvgVelo"
"Cutter",89,88.8755069222123,"AvgVelo"
"Cutter",90,88.888128700842,"AvgVelo"
"Cutter",91,88.8911226622719,"AvgVelo"
"Cutter",92,88.9938253504512,"AvgVelo"
"Cutter",93,89.116158073913,"AvgVelo"
"Cutter",94,89.165101873913,"AvgVelo"
"Cutter",95,89.287010425,"AvgVelo"
"Cutter",96,89.4401426497486,"AvgVelo"
"Cutter",97,89.6169951768665,"AvgVelo"
"Cutter",98,89.6709131820228,"AvgVelo"
"Cutter",99,90.212050802,"AvgVelo"
"Cutter",100,91.3674392,"AvgVelo"
"Four-Seam",1,87.0036339954113,"AvgVelo"
"Four-Seam",2,87.6361040306276,"AvgVelo"
"Four-Seam",3,87.9235681463257,"AvgVelo"
"Four-Seam",4,88.2883568532817,"AvgVelo"
"Four-Seam",5,88.4756186232493,"AvgVelo"
"Four-Seam",6,88.7265734175894,"AvgVelo"
"Four-Seam",7,88.8070018383526,"AvgVelo"
"Four-Seam",8,88.9368159510397,"AvgVelo"
"Four-Seam",9,89.0053145730236,"AvgVelo"
"Four-Seam",10,89.0556206903626,"AvgVelo"
"Four-Seam",11,89.1731848323257,"AvgVelo"
"Four-Seam",12,89.2505500725909,"AvgVelo"
"Four-Seam",13,89.4133846925287,"AvgVelo"
"Four-Seam",14,89.4894229348315,"AvgVelo"
"Four-Seam",15,89.5658298847073,"AvgVelo"
"Four-Seam",16,89.7243939302971,"AvgVelo"
"Four-Seam",17,89.8318440404407,"AvgVelo"
"Four-Seam",18,89.9106057739575,"AvgVelo"
"Four-Seam",19,89.9513912854382,"AvgVelo"
"Four-Seam",20,89.9832650798722,"AvgVelo"
"Four-Seam",21,90.0558256381173,"AvgVelo"
"Four-Seam",22,90.1128954028317,"AvgVelo"
"Four-Seam",23,90.1946287231975,"AvgVelo"
"Four-Seam",24,90.2713440146796,"AvgVelo"
"Four-Seam",25,90.315256129239,"AvgVelo"
"Four-Seam",26,90.3869155269257,"AvgVelo"
"Four-Seam",27,90.4516564576801,"AvgVelo"
"Four-Seam",28,90.5052868915606,"AvgVelo"
"Four-Seam",29,90.6980297425325,"AvgVelo"
"Four-Seam",30,90.7767429322312,"AvgVelo"
"Four-Seam",31,90.8313395689303,"AvgVelo"
"Four-Seam",32,90.8939283558266,"AvgVelo"
"Four-Seam",33,90.9264069416975,"AvgVelo"
"Four-Seam",34,91.0091103743002,"AvgVelo"
"Four-Seam",35,91.1004262759166,"AvgVelo"
"Four-Seam",36,91.1584049732355,"AvgVelo"
"Four-Seam",37,91.1937772064508,"AvgVelo"
"Four-Seam",38,91.2746767333333,"AvgVelo"
"Four-Seam",39,91.3584985864776,"AvgVelo"
"Four-Seam",40,91.4378756837607,"AvgVelo"
"Four-Seam",41,91.4675068040332,"AvgVelo"
"Four-Seam",42,91.4927580421211,"AvgVelo"
"Four-Seam",43,91.5216835584101,"AvgVelo"
"Four-Seam",44,91.6108719170784,"AvgVelo"
"Four-Seam",45,91.6335748571429,"AvgVelo"
"Four-Seam",46,91.7053085784944,"AvgVelo"
"Four-Seam",47,91.8161946204879,"AvgVelo"
"Four-Seam",48,91.8573116555412,"AvgVelo"
"Four-Seam",49,91.8851209713573,"AvgVelo"
"Four-Seam",50,91.9249869225943,"AvgVelo"
"Four-Seam",51,92.0204459508823,"AvgVelo"
"Four-Seam",52,92.0637944661424,"AvgVelo"
"Four-Seam",53,92.1182184235833,"AvgVelo"
"Four-Seam",54,92.1683276643982,"AvgVelo"
"Four-Seam",55,92.2291825949313,"AvgVelo"
"Four-Seam",56,92.2957872635229,"AvgVelo"
"Four-Seam",57,92.3400783782051,"AvgVelo"
"Four-Seam",58,92.4260756920257,"AvgVelo"
"Four-Seam",59,92.4907883564315,"AvgVelo"
"Four-Seam",60,92.5916912903226,"AvgVelo"
"Four-Seam",61,92.6839290354412,"AvgVelo"
"Four-Seam",62,92.7153668070312,"AvgVelo"
"Four-Seam",63,92.7547688501334,"AvgVelo"
"Four-Seam",64,92.8065715195852,"AvgVelo"
"Four-Seam",65,92.8457642498872,"AvgVelo"
"Four-Seam",66,92.8903785652861,"AvgVelo"
"Four-Seam",67,92.939278899657,"AvgVelo"
"Four-Seam",68,92.9623248340199,"AvgVelo"
"Four-Seam",69,93.0058498248099,"AvgVelo"
"Four-Seam",70,93.0295951750655,"AvgVelo"
"Four-Seam",71,93.0745288267891,"AvgVelo"
"Four-Seam",72,93.099341416129,"AvgVelo"
"Four-Seam",73,93.1257619058848,"AvgVelo"
"Four-Seam",74,93.2309531716733,"AvgVelo"
"Four-Seam",75,93.2790890256286,"AvgVelo"
"Four-Seam",76,93.3293254047322,"AvgVelo"
"Four-Seam",77,93.3604877229358,"AvgVelo"
"Four-Seam",78,93.4223087446349,"AvgVelo"
"Four-Seam",79,93.5356498066052,"AvgVelo"
"Four-Seam",80,93.6635682831325,"AvgVelo"
"Four-Seam",81,93.779289328813,"AvgVelo"
"Four-Seam",82,93.8637001855626,"AvgVelo"
"Four-Seam",83,93.9968107673433,"AvgVelo"
"Four-Seam",84,94.1089221847491,"AvgVelo"
"Four-Seam",85,94.1751069174352,"AvgVelo"
"Four-Seam",86,94.3154143467115,"AvgVelo"
"Four-Seam",87,94.3833009476912,"AvgVelo"
"Four-Seam",88,94.6353025544249,"AvgVelo"
"Four-Seam",89,94.7234212075372,"AvgVelo"
"Four-Seam",90,94.7590443729097,"AvgVelo"
"Four-Seam",91,94.8488719950043,"AvgVelo"
"Four-Seam",92,95.0563542447428,"AvgVelo"
"Four-Seam",93,95.183011840781,"AvgVelo"
"Four-Seam",94,95.3029347281081,"AvgVelo"
"Four-Seam",95,95.5548480103581,"AvgVelo"
"Four-Seam",96,95.7893757598806,"AvgVelo"
"Four-Seam",97,96.1708492388844,"AvgVelo"
