stat_type,player_name,team,program_name,source_group,njcaa_region,state,col_1,yr,pos,gp,tc,po,a,e,pb,f,dp,sba,rcs,rcs_1,ci,source_url,scraped_at,ab,h,rbi,bb,2b,3b,hr,xbh,k,avg,obp,slg,hbp,sf,sh,hdp,go,fo,go_fo,pa,era,w,l,app,gs,sv,ip,r,er,k_9,whip,bf,wp,g,sb,cs,ops,gp_gs,tb,so,gdp,ob,sb_att,bio_link,w_l,app_gs,cg,sho,b_avg,bk,sfa,sha,c,fld,csb,no,gp_from_gp_gs,gs_from_gp_gs,app_from_app_gs,gs_from_app_gs,w_from_w_l,l_from_w_l,sb_from_sb_att,cs_from_sb_att,fpct,stats_team_name
hitting,Nayden Ramirez,Alvin College,Alvin College,Region 14,14,TX,13,So,C,51,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,174,59,39,25,19,,8,27,26,0.339,0.429,0.586,3,1,,4,18,15,1.2,203,,,,,,,,,,,,,,51,,,1.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Jackson Castillo,Alvin College,Alvin College,Region 14,14,TX,30,Fr,C,54,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,173,56,42,32,14,,6,20,35,0.324,0.431,0.509,2,2,,4,11,8,1.38,209,,,,,,,,,,,,,,54,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Asa Sampson,Alvin College,Alvin College,Region 14,14,TX,8,Fr,OF/RHP,48,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,136,43,24,24,11,1,8,20,36,0.316,0.43,0.588,4,1,,,15,6,2.5,165,,,,,,,,,,,,,,48,,,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Dylan Marbury,Alvin College,Alvin College,Region 14,14,TX,2,RS FR,OF,23,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,66,20,9,9,3,1,1,5,17,0.303,0.39,0.424,1,1,1,2,13,9,1.44,78,,,,,,,,,,,,,,23,,,0.8140000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Justin Garcia Hernandez,Alvin College,Alvin College,Region 14,14,TX,45,Fr,OF,50,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,161,45,39,25,4,1,12,17,52,0.28,0.38,0.54,1,,,6,7,11,0.64,187,,,,,,,,,,,,,,50,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Ivan Marron,Alvin College,Alvin College,Region 14,14,TX,28,Fr,IF,23,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,60,16,7,9,5,,1,6,18,0.267,0.352,0.4,,2,,,2,1,2,71,,,,,,,,,,,,,,23,,,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Hudson Depriest,Alvin College,Alvin College,Region 14,14,TX,14,Fr,INF,49,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,155,41,17,26,3,,2,5,42,0.265,0.37,0.323,1,2,7,,21,8,2.63,191,,,,,,,,,,,,,,49,,,0.6930000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Chase Lovick,Alvin College,Alvin College,Region 14,14,TX,1,RS SO,OF,41,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,106,28,21,9,3,1,4,8,42,0.264,0.366,0.425,8,,2,,10,2,5,125,,,,,,,,,,,,,,41,,,0.7909999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,Jayce Richardson,Alvin College,Alvin College,Region 14,14,TX,5,Fr,2B,51,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,150,38,20,24,8,,3,11,36,0.253,0.356,0.367,2,4,2,6,18,15,1.2,182,,,,,,,,,,,,,,51,,,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
hitting,John Moya,Alvin College,Alvin College,Region 14,14,TX,3,SO,OF,29,,,,,,,,,,,,https://region14.prestosports.com/sports/bsb/2025-26/teams/alvincollege?view=lineup&pos=h,2026-08-28 16:30:21 CDT,76,19,9,21,1,,1,2,13,0.25,0.414,0.303,1,1,,1,8,3,2.67,99,,,,,,,,,,,,,,29,,,0.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin College
