program_name,stats_team_name,source_group,njcaa_region,state,source_kind,source_url,include
Dallas College Richland,Dallas College Richland,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegerichland?view=lineup&pos=f,TRUE
Dallas College Richland,Dallas College Richland,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegerichland?view=lineup&pos=h,TRUE
Dallas College Richland,Dallas College Richland,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/dallascollegerichland?view=lineup&pos=p,TRUE
El Paso Community College,El Paso CC,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/elpasocommunitycollege?view=lineup&pos=f,TRUE
El Paso Community College,El Paso CC,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/elpasocommunitycollege?view=lineup&pos=h,TRUE
El Paso Community College,El Paso CC,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/elpasocommunitycollege?view=lineup&pos=p,TRUE
Frank Phillips College,Frank Phillips College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/frankphillipscollege?view=lineup&pos=f,TRUE
Frank Phillips College,Frank Phillips College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/frankphillipscollege?view=lineup&pos=h,TRUE
Frank Phillips College,Frank Phillips College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/frankphillipscollege?view=lineup&pos=p,TRUE
Grayson College,Grayson College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/graysoncollege?view=lineup&pos=f,TRUE
Grayson College,Grayson College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/graysoncollege?view=lineup&pos=h,TRUE
Grayson College,Grayson College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/graysoncollege?view=lineup&pos=p,TRUE
Hill College,Hill College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/hillcollege?view=lineup&pos=f,TRUE
Hill College,Hill College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/hillcollege?view=lineup&pos=h,TRUE
Hill College,Hill College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/hillcollege?view=lineup&pos=p,TRUE
Howard College,Howard College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/howardcollege?view=lineup&pos=f,TRUE
Howard College,Howard College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/howardcollege?view=lineup&pos=h,TRUE
Howard College,Howard College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/howardcollege?view=lineup&pos=p,TRUE
McLennan Community College,McLennan CC,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/mclennancommunitycollege?view=lineup&pos=f,TRUE
McLennan Community College,McLennan CC,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/mclennancommunitycollege?view=lineup&pos=h,TRUE
McLennan Community College,McLennan CC,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/mclennancommunitycollege?view=lineup&pos=p,TRUE
Midland College,Midland College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/midlandcollege?view=lineup&pos=f,TRUE
Midland College,Midland College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/midlandcollege?view=lineup&pos=h,TRUE
Midland College,Midland College,Region 5,5,TX,pitching,https://region5.prestosports.com/sports/bsb/2025-26/teams/midlandcollege?view=lineup&pos=p,TRUE
